Text
Galaxy Name
Sigma Aurigae
Gamma Miriandynus
Beta Capella
Solymus Galaxy
Polystratus Star System
Fishscale Nebula
Eyelash Nebula
Zodiac Star System
Y-602
MAD 19J
Omega Librae
Carina Euthenia
Sigma Draconis
Achelois Galaxy
Polystratus Star System
Octopus Galaxy
Tiger Paw Cloud
Strawberry Star System
WG-506
FTM 02C
Serpens Amphiaraus
Beta Euthenia
Virgo Boreas
Eridani Nebula
Leporis Cloud
Tiger Paw Star System
Potato Star System
Octopus Cloud
PN-44
YAM 57H
Nemo Chronos
Gamma Aquarii
Centauri
Adastreia Cloud
Zagreus Nebula
Falling Star System
Kettle Galaxy
Ponytail Star System
LG-229
JP 22C
Corona Eioneus
Carina Chronos
Sagittarius
Arcturus Galaxy
Perileos Galaxy
Dragontooth Galaxy
Zodiac Cloud
Oculus Cloud
BZ-721
PKO 15F
Vela Peleus
Delta Ophiuchi
Omega Alatheia
Eubuleus Cloud
Solymus Nebula
Blue Ribbon Star System
Teacup Galaxy
Dandelion Cloud
F-430
ALN 51B
Serpens Hyperbius
Serpens Asteropaios
Serpens Miriandynus
Odysseus Nebula
Ophiuchi Galaxy
Fisheye Nebula
Tiger Paw Galaxy
Dragontooth Nebula
DH-420
SLM 80A
Omega Aurigae
Virgo Leporis
Gamma Achelois
Euthenia Nebula
Arcturus Cloud
Exploding Galaxy
Maelstrom Nebula
Turtle Shell Star System
CZ-457
DPT 94E
Carina Draconis
Nemo Acallaris
Canis Eubuleus
Hyperion Cloud
Hyperes Cloud
Abyss Star System
Lilypad Nebula
Iris Cloud
UM-213
ATT 40A
Sagitta Perseus
Sagitta Eubuleus
Borysthenis
Palioxis Galaxy
Zagreus Cloud
Clover Cloud
Clover Galaxy
Cat's Ear Galaxy
PD-46
DRD 17H
