Text,Real,Text,Text,Text,Text,Text,Text,Text,Text
Planet Name,Gravity Setting,Space,Atmosphere,City,Landing Pad,People,,,
Pafruynus,300,,,,,,,,
Wesnauwei,310,,,,,,,,
Suswiea,320,,,,,,,,
Cogrolla,330,,,,,,,,
Nuigawa,340,,,,,,,,
Hiunus,350,,,,,,,,
Flodubos,360,,,,,,,,
Skabunerth,370,,,,,,,,
Striea,380,,,,,,,,
Scilles,400,,,,,,,,
Ushiobos,,,,,,,,,
Tobraylia,,,,,,,,,
Wacradus,,,,,,,,,
Neprurn,,,,,,,,,
Saunope,,,,,,,,,
Aulara,,,,,,,,,
Blodarus,,,,,,,,,
Frecucury,,,,,,,,,
Gronoe,,,,,,,,,
Smeon,,,,,,,,,
Iosciythea,,,,,,,,,
Labriuzuno,,,,,,,,,
Fobrilia,,,,,,,,,
Xabryke,,,,,,,,,
Oarus,,,,,,,,,
Tourilia,,,,,,,,,
Drecohines,,,,,,,,,
Frabetune,,,,,,,,,
Chyke,,,,,,,,,
Drilia,,,,,,,,,
Fatroaria,,,,,,,,,
Xawhiylara,,,,,,,,,
Fudrade,,,,,,,,,
Jeprides,,,,,,,,,
Waolara,,,,,,,,,
Sueliv,,,,,,,,,
Skecahines,,,,,,,,,
Chufanus,,,,,,,,,
Glorix,,,,,,,,,
Griea,,,,,,,,,
Hobreacarro,,,,,,,,,
Fostroetune,,,,,,,,,
Eprurn,,,,,,,,,
Rebroria,,,,,,,,,
Aylea,,,,,,,,,
Quyliv,,,,,,,,,
Smodulara,,,,,,,,,
Drabustea,,,,,,,,,
Shao,,,,,,,,,
Shillon,,,,,,,,,
Kotretune,,,,,,,,,
Gacreoter,,,,,,,,,
Paflorix,,,,,,,,,
Iuswarvis,,,,,,,,,
Fuihiri,,,,,,,,,
Moiyama,,,,,,,,,
Shodohines,,,,,,,,,
Prodanides,,,,,,,,,
Glao,,,,,,,,,
Slion,,,,,,,,,
Mosmaonus,,,,,,,,,
Iaplaywei,,,,,,,,,
Fuspore,,,,,,,,,
Oscyria,,,,,,,,,
Luygawa,,,,,,,,,
Ioeter,,,,,,,,,
Scabazuno,,,,,,,,,
Scodecury,,,,,,,,,
Blorth,,,,,,,,,
Plomia,,,,,,,,,
Usheanus,,,,,,,,,
Oscuyrus,,,,,,,,,
Bofrora,,,,,,,,,
Detreshan,,,,,,,,,
Uonope,,,,,,,,,
Xuygawa,,,,,,,,,
Stodonov,,,,,,,,,
Brodarilia,,,,,,,,,
Blara,,,,,,,,,
Chara,,,,,,,,,
Bobraugantu,,,,,,,,,
Cafleter,,,,,,,,,
Nubrov,,,,,,,,,
Aplides,,,,,,,,,
Oinus,,,,,,,,,
Sourilia,,,,,,,,,
Glabater,,,,,,,,,
Grufebos,,,,,,,,,
Cruna,,,,,,,,,
Frinda,,,,,,,,,
Vewhiynope,,,,,,,,,
Vewheytov,,,,,,,,,
Joshiea,,,,,,,,,
Becluna,,,,,,,,,
Woenov,,,,,,,,,
Koeria,,,,,,,,,
Braberus,,,,,,,,,
Flodugawa,,,,,,,,,
Criri,,,,,,,,,
Scarth,,,,,,,,,
